Dataset,MLP_PyTorch_Clas
CAR,0.83436
DIABETES,1.19075
GAMMA,14.5576
HAR,5.08922
IRIS,0.16594
LETTER RECOGNITION,20.57083
MNIST,5.62216
SOYBEAN,0.62318
STUDENT DROPOUT,5.96082
WINE,0.10779
