Dataset,MLP_PyTorch_Reg
ABALONE,0.54247
AIR QUALITY,0.89438
APPLIANCES ENERGY PREDICTION,0.70094
AUTOMOBILE,0.90688
BIKE SHARING HOURLY,0.91938
COMMUNITIES AND CRIME,0.53709
OBESITY LEVELS,0.96989
REAL ESTATE VALUATION,0.63293
STUDENT PERFORMANCE,0.72508
WINE QUALITY,0.33464
