Dataset,MLP_TFLite_Clas
CAR,0.94796
DIABETES,0.68904
GAMMA,0.83812
HAR,0.98268
IRIS,0.93556
LETTER RECOGNITION,0.89791
MNIST,0.92916
SOYBEAN,0.95453
STUDENT DROPOUT,0.65264
WINE,0.97875
