Dataset,MLP_PyTorch_Clas
CAR,0.9856
DIABETES,0.69575
GAMMA,0.85536
HAR,0.9766
IRIS,0.95554
LETTER RECOGNITION,0.89455
MNIST,0.9208
SOYBEAN,0.95916
STUDENT DROPOUT,0.6464
WINE,0.9811
