Dataset,DecisionTree_ONNX_Clas,KNN_ONN_ClasX,LinearSVC_ONNX_Clas,MLP_ONNX_Clas,RandomForest_ONNX_Clas
CAR,1e-05,0.00019,1e-05,2e-05,1e-05
DIABETES,1e-05,9e-05,1e-05,2e-05,1e-05
GAMMA,1e-05,0.00068,1e-05,3e-05,1e-05
HAR,1e-05,0.00093,1e-05,3e-05,1e-05
IRIS,1e-05,8e-05,1e-05,2e-05,1e-05
LETTER RECOGNITION,1e-05,0.00125,1e-05,2e-05,1e-05
MNIST,1e-05,0.00102,1e-05,3e-05,1e-05
SOYBEAN,1e-05,0.00045,1e-05,2e-05,1e-05
STUDENT DROPOUT,1e-05,0.00037,1e-05,2e-05,1e-05
WINE,1e-05,9e-05,1e-05,2e-05,1e-05
