Dataset,MLP_PyTorch_Clas
CAR,0.9893
DIABETES,0.69501
GAMMA,0.87661
HAR,0.97939
IRIS,0.95843
LETTER RECOGNITION,0.90525
MNIST,0.92857
SOYBEAN,0.96547
STUDENT DROPOUT,0.66185
WINE,0.9813
