Dataset,MLP_TFLite_Clas
CAR,0.96024
DIABETES,0.68836
GAMMA,0.84967
HAR,0.98269
IRIS,0.9356
LETTER RECOGNITION,0.89802
MNIST,0.92928
SOYBEAN,0.95468
STUDENT DROPOUT,0.65287
WINE,0.97774
