Dataset,MLP_TFLite_Reg
ABALONE,8.17124
AIR QUALITY,9.664
APPLIANCES ENERGY PREDICTION,21.6087
AUTOMOBILE,1.57535
BIKE SHARING HOURLY,13.06182
COMMUNITIES AND CRIME,2.75906
OBESITY LEVELS,2.05794
REAL ESTATE VALUATION,3.11897
STUDENT PERFORMANCE,1.52533
WINE QUALITY,10.51729
