Dataset,MLP_PyTorch_Clas
CAR,0.98686
DIABETES,0.67318
GAMMA,0.84289
HAR,0.97717
IRIS,0.95333
LETTER RECOGNITION,0.89382
MNIST,0.9217
SOYBEAN,0.95261
STUDENT DROPOUT,0.64298
WINE,0.98176
