Dataset,MLP_PyTorch_Clas
CAR,1.36703
DIABETES,1.27259
GAMMA,13.3082
HAR,5.75375
IRIS,0.207
LETTER RECOGNITION,24.83966
MNIST,6.76274
SOYBEAN,0.95246
STUDENT DROPOUT,5.81415
WINE,0.13572
