Dataset,MLP_TFLite_Clas
CAR,4.83594
DIABETES,4.4375
GAMMA,4.5
HAR,21.90625
IRIS,4.35938
LETTER RECOGNITION,5.73438
MNIST,29.04688
SOYBEAN,6.02344
STUDENT DROPOUT,5.36719
WINE,4.64844
