Dataset,MLP_PyTorch_Clas
CAR,0.98707
DIABETES,0.69839
GAMMA,0.8505
HAR,0.97916
IRIS,0.95556
LETTER RECOGNITION,0.90146
MNIST,0.92755
SOYBEAN,0.95837
STUDENT DROPOUT,0.65093
WINE,0.98192
