Dataset,MLP_PyTorch_Clas
CAR,0.99548
DIABETES,0.70201
GAMMA,0.87199
HAR,0.97947
IRIS,0.95324
LETTER RECOGNITION,0.90056
MNIST,0.92749
SOYBEAN,0.965
STUDENT DROPOUT,0.65796
WINE,0.98034
