Dataset,MLP_PyTorch_Reg
ABALONE,7.3916
AIR QUALITY,12.76855
APPLIANCES ENERGY PREDICTION,10.39551
AUTOMOBILE,15.39551
BIKE SHARING HOURLY,7.64551
COMMUNITIES AND CRIME,18.64551
OBESITY LEVELS,9.52051
REAL ESTATE VALUATION,6.89551
STUDENT PERFORMANCE,13.39551
WINE QUALITY,7.52051
