Model,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Size_KB,Inference_time_s,Train_time_s,Conversion_time_s,Dataset
MLP_TFLite_Clas,0.97995,0.02686,0.96024,0.05112,0.98203,0.02149,0.94796,0.06986,4.83594,8e-05,3.79453,0.23711,CAR
MLP_TFLite_Clas,0.71612,0.03255,0.68836,0.03277,0.68958,0.03437,0.68904,0.03163,4.45312,8e-05,5.06437,0.24031,DIABETES
MLP_TFLite_Clas,0.86807,0.00598,0.84967,0.00702,0.86812,0.00736,0.83812,0.0074,4.51562,8e-05,56.63623,0.27667,GAMMA
MLP_TFLite_Clas,0.98191,0.00339,0.98269,0.0032,0.98295,0.00314,0.98268,0.00325,21.90625,8e-05,14.44091,0.26047,HAR
MLP_TFLite_Clas,0.93556,0.03542,0.9356,0.03514,0.94066,0.03367,0.93556,0.03542,4.36719,8e-05,4.00729,0.24371,IRIS
MLP_TFLite_Clas,0.89817,0.00722,0.89802,0.00732,0.9016,0.00661,0.89791,0.00726,5.73438,8e-05,39.13839,0.23777,LETTER RECOGNITION
MLP_TFLite_Clas,0.93027,0.00455,0.92928,0.00462,0.93021,0.00443,0.92916,0.00466,29.04688,9e-05,15.13706,0.26131,MNIST
MLP_TFLite_Clas,0.93317,0.01913,0.95468,0.01354,0.96072,0.01227,0.95453,0.01564,6.02344,8e-05,3.88815,0.23619,SOYBEAN
MLP_TFLite_Clas,0.7188,0.01346,0.65287,0.01616,0.65564,0.01631,0.65264,0.01657,5.36719,8e-05,14.31353,0.24457,STUDENT DROPOUT
MLP_TFLite_Clas,0.97751,0.01839,0.97774,0.01875,0.97789,0.01888,0.97875,0.01864,4.64844,8e-05,2.24698,0.3626,WINE
