Dataset,MLP_PyTorch_Clas
CAR,0.99292
DIABETES,0.70344
GAMMA,0.8496
HAR,0.98014
IRIS,0.94889
LETTER RECOGNITION,0.90365
MNIST,0.92946
SOYBEAN,0.95402
STUDENT DROPOUT,0.6565
WINE,0.98007
