Dataset,MLP_PyTorch_Clas
CAR,0.00013
DIABETES,0.00013
GAMMA,0.00014
HAR,0.00014
IRIS,0.00013
LETTER RECOGNITION,0.00014
MNIST,0.00015
SOYBEAN,0.00013
STUDENT DROPOUT,0.00014
WINE,0.00013
