Dataset,MLP_PyTorch_Clas
CAR,0.99479
DIABETES,0.72917
GAMMA,0.87266
HAR,0.97828
IRIS,0.94889
LETTER RECOGNITION,0.89687
MNIST,0.92743
SOYBEAN,0.93414
STUDENT DROPOUT,0.72204
WINE,0.97947
