Dataset,MLP_PyTorch_Reg
ABALONE,0.06848
AIR QUALITY,0.035
APPLIANCES ENERGY PREDICTION,0.05419
AUTOMOBILE,0.05196
BIKE SHARING HOURLY,0.03598
COMMUNITIES AND CRIME,0.10426
OBESITY LEVELS,0.04074
REAL ESTATE VALUATION,0.08099
STUDENT PERFORMANCE,0.0893
WINE QUALITY,0.09985
