Dataset,MLP_PyTorch_Reg
ABALONE,1.49636
AIR QUALITY,0.07988
APPLIANCES ENERGY PREDICTION,0.22976
AUTOMOBILE,1556.70075
BIKE SHARING HOURLY,32.76668
COMMUNITIES AND CRIME,0.10424
OBESITY LEVELS,0.19182
REAL ESTATE VALUATION,5.42986
STUDENT PERFORMANCE,1.68347
WINE QUALITY,0.55028
