Dataset,MLP_PyTorch_Clas
CAR,8.9541
DIABETES,7.20605
GAMMA,7.45801
HAR,76.58301
IRIS,6.77051
LETTER RECOGNITION,9.77051
MNIST,104.70801
SOYBEAN,11.70801
STUDENT DROPOUT,10.77051
WINE,7.89551
