Dataset,MLP_PyTorch_Reg
ABALONE,2.28262
AIR QUALITY,4.219
APPLIANCES ENERGY PREDICTION,8.62729
AUTOMOBILE,0.13849
BIKE SHARING HOURLY,8.07953
COMMUNITIES AND CRIME,1.9276
OBESITY LEVELS,0.7947
REAL ESTATE VALUATION,0.27822
STUDENT PERFORMANCE,0.18608
WINE QUALITY,5.19213
