Dataset,MLP_TFLite_Clas
CAR,8e-05
DIABETES,8e-05
GAMMA,8e-05
HAR,8e-05
IRIS,8e-05
LETTER RECOGNITION,8e-05
MNIST,9e-05
SOYBEAN,8e-05
STUDENT DROPOUT,8e-05
WINE,8e-05
