Dataset,MLP_PyTorch_Clas
CAR,0.99368
DIABETES,0.70332
GAMMA,0.87708
HAR,0.98033
IRIS,0.95324
LETTER RECOGNITION,0.90661
MNIST,0.93024
SOYBEAN,0.96431
STUDENT DROPOUT,0.6663
WINE,0.98034
