Dataset,MLP_TFLite_Reg
ABALONE,1.51911
AIR QUALITY,0.08082
APPLIANCES ENERGY PREDICTION,0.23445
AUTOMOBILE,1690.89924
BIKE SHARING HOURLY,31.48545
COMMUNITIES AND CRIME,0.1065
OBESITY LEVELS,0.2048
REAL ESTATE VALUATION,5.49618
STUDENT PERFORMANCE,1.98981
WINE QUALITY,0.55271
