Dataset,MLP_PyTorch_Reg
ABALONE,8.56543
AIR QUALITY,9.87988
APPLIANCES ENERGY PREDICTION,9.31934
AUTOMOBILE,10.56934
BIKE SHARING HOURLY,8.63184
COMMUNITIES AND CRIME,11.38184
OBESITY LEVELS,9.06934
REAL ESTATE VALUATION,8.44434
STUDENT PERFORMANCE,10.06934
WINE QUALITY,8.56934
