Dataset,MLP_TFLite_Clas
CAR,3.29288
DIABETES,4.88495
GAMMA,53.49634
HAR,14.18193
IRIS,4.03523
LETTER RECOGNITION,33.21216
MNIST,13.71878
SOYBEAN,3.5255
STUDENT DROPOUT,13.4081
WINE,2.08861
