Dataset,MLP_PyTorch_Reg
ABALONE,0.00023
AIR QUALITY,0.00023
APPLIANCES ENERGY PREDICTION,0.00023
AUTOMOBILE,0.00024
BIKE SHARING HOURLY,0.00023
COMMUNITIES AND CRIME,0.00023
OBESITY LEVELS,0.00023
REAL ESTATE VALUATION,0.00022
STUDENT PERFORMANCE,0.00022
WINE QUALITY,0.00023
