Dataset,MLP_TFLite_Reg
ABALONE,14.07163
AIR QUALITY,19.96441
APPLIANCES ENERGY PREDICTION,50.71851
AUTOMOBILE,2.70241
BIKE SHARING HOURLY,25.23757
COMMUNITIES AND CRIME,5.98529
OBESITY LEVELS,3.99678
REAL ESTATE VALUATION,4.02144
STUDENT PERFORMANCE,2.60683
WINE QUALITY,17.33934
