Dataset,MLP_PyTorch_Clas
CAR,1.37974
DIABETES,1.2822
GAMMA,13.31081
HAR,5.79507
IRIS,0.21449
LETTER RECOGNITION,24.91407
MNIST,6.78384
SOYBEAN,0.95666
STUDENT DROPOUT,5.83008
WINE,0.1371
