Dataset,MLP_PyTorch_Reg
ABALONE,2.45827
AIR QUALITY,4.57504
APPLIANCES ENERGY PREDICTION,10.7246
AUTOMOBILE,0.12731
BIKE SHARING HOURLY,6.46614
COMMUNITIES AND CRIME,1.79849
OBESITY LEVELS,0.6854
REAL ESTATE VALUATION,0.2728
STUDENT PERFORMANCE,0.16323
WINE QUALITY,4.16164
