Dataset,MLP_TFLite_Clas
CAR,0.97995
DIABETES,0.71612
GAMMA,0.86807
HAR,0.98191
IRIS,0.93556
LETTER RECOGNITION,0.89817
MNIST,0.93027
SOYBEAN,0.93317
STUDENT DROPOUT,0.7188
WINE,0.97751
