Dataset,MLP_TFLite_Reg
ABALONE,0.07168
AIR QUALITY,0.03722
APPLIANCES ENERGY PREDICTION,0.05632
AUTOMOBILE,0.05849
BIKE SHARING HOURLY,0.08407
COMMUNITIES AND CRIME,0.10533
OBESITY LEVELS,0.06149
REAL ESTATE VALUATION,0.08339
STUDENT PERFORMANCE,0.10971
WINE QUALITY,0.0995
