Dataset,MLP_TFLite_Clas
CAR,0.93856
DIABETES,0.67904
GAMMA,0.84268
HAR,0.98283
IRIS,0.93778
LETTER RECOGNITION,0.8931
MNIST,0.92408
SOYBEAN,0.94655
STUDENT DROPOUT,0.65541
WINE,0.97848
