Dataset,MLP_TFLite_Reg
ABALONE,0.43524
AIR QUALITY,0.86234
APPLIANCES ENERGY PREDICTION,0.6551
AUTOMOBILE,0.88636
BIKE SHARING HOURLY,0.37957
COMMUNITIES AND CRIME,0.51791
OBESITY LEVELS,0.92646
REAL ESTATE VALUATION,0.52131
STUDENT PERFORMANCE,0.63071
WINE QUALITY,0.31263
